Order ID,Order Date,Customer Name,Country,Product Name,Quantity,Sales
ORD001,2011-10-17,Karan,India,Phone,4,1048.2
ORD002,2010-04-15,Ravi,India,Monitor,1,78.31
ORD003,2010-08-12,Amit,Australia,Table,9,2150.06
ORD004,2011-10-28,Sneha,Canada,Monitor,8,4878.42
ORD005,2010-01-07,Neha,Canada,Chair,5,988.53
ORD006,2010-12-11,Ravi,India,Phone,2,782.06
ORD007,2010-12-19,Amit,UK,Keyboard,8,4475.33
ORD008,2011-01-23,Karan,Australia,Phone,10,8911.79
ORD009,2011-01-06,Priya,USA,Keyboard,1,678.2
ORD010,2010-10-24,Priya,USA,Phone,7,2198.52
ORD011,2011-10-13,Neha,USA,Notebook,6,1494.19
ORD012,2010-10-01,Rahul,Australia,Phone,9,6684.03
ORD013,2010-06-17,Karan,Canada,Headphones,9,2327.71
ORD014,2010-11-29,Amit,USA,Laptop,6,2586.64
ORD015,2010-03-09,Neha,Australia,Table,4,2690.67
ORD016,2011-02-10,Karan,USA,Headphones,3,852.89
ORD017,2011-07-29,Ravi,UK,Monitor,10,4294.3
ORD018,2010-08-13,Pooja,Australia,Chair,2,1535.99
ORD019,2010-04-23,Ravi,USA,Chair,10,1103.51
ORD020,2011-01-26,Karan,Canada,Keyboard,9,7809.67
ORD021,2010-01-12,Karan,Australia,Phone,6,935.85
ORD022,2011-03-22,Amit,Canada,Chair,5,4866.47
ORD023,2010-07-02,Karan,India,Monitor,9,5656.7
ORD024,2010-06-06,Amit,USA,Notebook,10,3579.48
ORD025,2010-01-20,Karan,UK,Phone,4,420.12
ORD026,2011-08-04,Pooja,India,Phone,2,1958.17
ORD027,2011-06-30,Pooja,USA,Chair,9,1861.84
ORD028,2011-06-25,Sneha,Canada,Keyboard,9,6907.52
ORD029,2011-12-08,Ravi,UK,Table,6,2797.17
ORD030,2011-06-14,Sneha,India,Headphones,4,443.3
ORD031,2010-01-22,Sneha,Australia,Keyboard,10,2592.07
ORD032,2010-03-14,Priya,USA,Laptop,1,866.65
ORD033,2010-03-14,Karan,USA,Monitor,8,2028.2
ORD034,2010-05-16,Pooja,Australia,Keyboard,4,3181.55
ORD035,2011-02-21,Priya,India,Table,7,2706.08
ORD036,2011-02-25,Priya,India,Headphones,1,432.49
ORD037,2010-12-14,Sneha,USA,Phone,4,2237.89
ORD038,2010-05-24,Karan,USA,Pen,8,2298.53
ORD039,2010-03-19,Priya,Australia,Headphones,1,669.54
